user_id,question_id,topic_id,subtopic_id,idlevel,status,response_time,next_level
1,1,1,1,3,1,1.08,3
1,3,1,1,3,1,3.69,3
1,3,1,1,3,1,0.97,3
1,4,1,1,3,1,2.69,3
1,4,1,1,3,1,3.23,3
1,7,1,1,3,1,2.27,3
1,10,1,1,3,1,2.45,3
1,10,1,1,3,1,2.26,3
1,10,1,1,3,1,1.75,3
1,11,1,1,3,1,3.91,3
1,11,1,1,3,1,0.74,3
1,12,1,1,3,1,2.79,3
1,12,1,1,3,1,2.4,3
1,12,1,1,3,1,4.81,3
1,12,1,1,3,1,2.93,3
1,12,1,1,3,1,2.98,3
1,28,1,2,3,1,5.11,3
1,28,1,2,3,1,2.13,3
1,29,1,2,3,1,3.7,3
1,29,1,2,3,1,4.6,3
1,29,1,2,3,0,3.35,3
1,30,1,2,3,1,2.29,3
1,32,1,2,3,1,4.93,3
1,37,1,3,3,1,1.91,3
1,38,1,3,3,0,4.86,3
1,39,1,3,1,1,2.49,2
1,40,1,3,3,1,2.41,3
1,40,1,3,3,1,3.53,3
1,40,1,3,3,1,1.54,3
1,40,1,3,3,1,7.81,3
1,40,1,3,3,1,5.67,3
1,42,1,3,3,1,1.9,3
1,43,1,3,3,1,6.61,3
1,43,1,3,3,1,3.13,3
1,43,1,3,3,0,9.6,3
1,56,1,4,3,1,7.99,3
1,56,1,4,3,1,2.69,3
1,56,1,4,3,1,0.52,3
1,56,1,4,3,0,8.27,3
1,57,1,4,3,1,2.46,3
1,59,1,4,3,0,3.87,3
1,59,1,4,3,1,1.55,3
1,60,1,4,3,0,5.76,3
1,60,1,4,3,1,8.21,3
1,64,1,4,2,1,7.66,3
1,71,1,5,3,1,2.44,3
1,71,1,5,3,1,5.9,3
1,78,1,5,3,1,3.24,3
1,78,1,5,3,1,1.67,3
1,78,1,5,3,0,29.72,3
1,79,1,5,3,1,2.8,3
2,2,1,1,1,1,1.03,1
2,4,1,1,3,0,1.74,2
2,5,1,1,1,1,1.55,1
2,6,1,1,1,1,5.69,1
2,6,1,1,1,1,5.34,2
2,7,1,1,3,0,6.99,3
2,8,1,1,2,1,7.46,2
2,10,1,1,3,0,9.66,3
2,13,1,1,1,0,3.96,1
2,15,1,1,2,1,4.74,2
2,15,1,1,2,0,3.36,1
2,18,1,2,2,1,6.79,2
2,24,1,2,2,1,4.26,2
2,24,1,2,2,1,5.23,2
2,26,1,2,1,1,2.85,2
2,26,1,2,1,1,13.5,1
2,31,1,2,2,1,2.21,2
2,34,1,3,2,1,4.89,3
2,36,1,3,2,1,6.34,2
2,43,1,3,3,0,5.02,3
2,44,1,3,1,1,0.41,1
2,44,1,3,1,1,3.54,1
2,49,1,4,2,0,15.13,2
2,52,1,4,1,0,9.68,1
2,52,1,4,1,1,3.39,1
2,53,1,4,2,1,1.61,2
2,54,1,4,1,0,18.2,1
2,55,1,4,2,1,2.06,2
2,56,1,4,3,0,11.52,3
2,57,1,4,3,0,9.66,2
2,59,1,4,3,0,8.65,3
2,62,1,4,1,1,2.1,1
2,63,1,4,2,1,2.42,2
2,66,1,5,2,0,1.37,2
2,67,1,5,2,1,2.68,2
2,69,1,5,2,0,20.98,2
2,71,1,5,3,0,2.98,3
2,71,1,5,3,1,2.7,3
2,71,1,5,3,1,2.86,3
2,73,1,5,2,0,10.21,2
2,73,1,5,2,1,0.53,2
2,74,1,5,2,1,1.51,3
2,74,1,5,2,1,1.57,2
2,74,1,5,2,0,7.04,2
2,76,1,5,2,0,7.98,2
2,77,1,5,2,1,4.05,2
3,1,1,1,3,1,2.41,3
3,2,1,1,1,1,12.87,1
3,3,1,1,3,1,5.84,3
3,4,1,1,3,0,14.44,3
3,4,1,1,3,1,2.2,3
3,4,1,1,3,0,8.77,3
3,7,1,1,3,1,4.7,3
3,7,1,1,3,1,0.55,3
3,9,1,1,3,0,20.55,3
3,9,1,1,3,1,4.89,3
3,9,1,1,3,1,0.42,3
3,10,1,1,3,1,5.16,3
3,12,1,1,3,1,5.01,3
3,12,1,1,3,1,6.25,3
3,12,1,1,3,1,3.92,3
3,13,1,1,1,1,2.96,2
3,14,1,1,3,1,3.87,3
3,14,1,1,3,0,5.89,2
3,16,1,1,1,1,1.66,1
3,23,1,2,2,0,18.07,1
3,25,1,2,1,1,9.29,1
3,27,1,2,1,1,2.15,1
3,28,1,2,3,1,1.81,3
3,28,1,2,3,1,6.55,3
3,28,1,2,3,0,18.84,3
3,28,1,2,3,0,3.37,3
3,29,1,2,3,1,3.47,3
3,30,1,2,3,1,0.21,3
3,30,1,2,3,1,1.71,3
3,35,1,3,3,0,7.31,3
3,40,1,3,3,0,10.46,3
3,40,1,3,3,1,3.54,3
3,40,1,3,3,1,11.53,3
3,40,1,3,3,1,4.92,3
3,41,1,3,1,1,3.61,2
3,42,1,3,3,0,4.61,3
3,43,1,3,3,1,4.07,3
3,43,1,3,3,0,13.74,3
3,44,1,3,1,1,2.83,1
3,44,1,3,1,1,1.18,1
3,46,1,3,3,1,2.22,3
3,49,1,4,2,1,7.85,3
3,51,1,4,2,1,0.74,3
3,56,1,4,3,0,8.97,3
3,56,1,4,3,0,15.2,3
3,57,1,4,3,1,2.21,3
3,59,1,4,3,1,5.86,3
3,59,1,4,3,0,5.91,2
3,60,1,4,3,1,2.14,3
3,60,1,4,3,0,7.7,3
3,62,1,4,1,1,3.8,2
3,70,1,5,1,1,4.0,1
3,70,1,5,1,1,4.16,1
3,75,1,5,2,0,16.06,1
3,78,1,5,3,1,3.73,3
3,79,1,5,3,1,2.11,3
3,79,1,5,3,1,3.02,3
3,80,1,5,2,1,12.03,3
4,1,1,1,3,1,2.23,3
4,1,1,1,3,1,2.82,3
4,3,1,1,3,0,3.99,3
4,3,1,1,3,0,6.75,3
4,4,1,1,3,1,1.26,3
4,4,1,1,3,0,10.44,2
4,5,1,1,1,1,1.81,1
4,10,1,1,3,1,3.41,3
4,12,1,1,3,0,4.61,3
4,13,1,1,1,0,10.06,1
4,13,1,1,1,1,7.56,1
4,22,1,2,1,1,0.94,2
4,26,1,2,1,1,2.63,1
4,28,1,2,3,1,1.71,3
4,29,1,2,3,1,3.13,3
4,30,1,2,3,1,0.41,3
4,30,1,2,3,1,3.82,3
4,31,1,2,2,1,4.47,3
4,32,1,2,3,0,1.75,3
4,32,1,2,3,1,1.1,3
4,35,1,3,3,0,25.54,3
4,39,1,3,1,1,1.64,1
4,40,1,3,3,1,7.41,3
4,41,1,3,1,1,0.79,1
4,42,1,3,3,1,9.78,3
4,42,1,3,3,1,1.35,3
4,43,1,3,3,1,5.65,3
4,43,1,3,3,1,2.68,3
4,44,1,3,1,1,6.78,2
4,44,1,3,1,1,3.64,1
4,44,1,3,1,0,2.78,1
4,46,1,3,3,0,11.17,3
4,56,1,4,3,1,1.6,3
4,57,1,4,3,0,14.76,3
4,57,1,4,3,1,6.89,3
4,59,1,4,3,1,0.7,3
4,60,1,4,3,0,8.98,3
4,60,1,4,3,0,10.01,3
4,60,1,4,3,1,4.96,3
4,64,1,4,2,0,27.12,1
4,69,1,5,2,1,2.37,3
4,78,1,5,3,0,18.23,3
5,3,1,1,3,0,3.72,3
5,3,1,1,3,0,3.35,3
5,4,1,1,3,1,2.68,3
5,8,1,1,2,1,8.67,2
5,9,1,1,3,1,3.55,3
5,10,1,1,3,1,4.7,3
5,11,1,1,3,1,1.65,3
5,11,1,1,3,1,2.68,3
5,11,1,1,3,1,1.99,3
5,12,1,1,3,1,2.08,3
5,14,1,1,3,0,25.63,3
5,14,1,1,3,1,7.22,3
5,15,1,1,2,1,3.14,2
5,18,1,2,2,0,8.65,2
5,24,1,2,2,0,2.68,1
5,25,1,2,1,0,3.28,1
5,27,1,2,1,1,0.76,2
5,28,1,2,3,0,11.53,3
5,29,1,2,3,1,3.28,3
5,29,1,2,3,1,2.44,3
5,30,1,2,3,1,0.5,3
5,33,1,3,2,0,12.97,1
5,35,1,3,3,0,10.1,3
5,35,1,3,3,1,14.97,3
5,35,1,3,3,0,6.7,3
5,37,1,3,3,1,2.48,3
5,37,1,3,3,0,6.37,3
5,40,1,3,3,1,6.89,3
5,41,1,3,1,1,0.95,1
5,42,1,3,3,0,22.9,3
5,42,1,3,3,1,3.88,3
5,42,1,3,3,1,5.45,3
5,43,1,3,3,1,3.16,3
5,43,1,3,3,1,2.1,3
5,44,1,3,1,1,2.85,1
5,44,1,3,1,1,1.74,2
5,44,1,3,1,1,19.8,1
5,45,1,3,1,1,6.13,1
5,46,1,3,3,1,12.76,3
5,47,1,3,2,1,1.73,3
5,54,1,4,1,1,3.19,1
5,56,1,4,3,1,2.09,3
5,57,1,4,3,1,1.96,3
5,58,1,4,1,1,1.95,1
5,60,1,4,3,1,1.72,3
5,60,1,4,3,1,7.98,3
5,63,1,4,2,0,6.7,2
5,65,1,5,2,1,3.07,2
5,67,1,5,2,1,6.62,2
5,69,1,5,2,1,6.27,2
5,71,1,5,3,1,5.79,3
5,71,1,5,3,1,7.69,3
5,71,1,5,3,1,1.16,3
5,71,1,5,3,0,8.21,2
5,72,1,5,2,1,5.24,2
5,73,1,5,2,0,8.85,2
5,77,1,5,2,0,20.21,2
5,79,1,5,3,0,9.5,3
6,1,1,1,3,1,4.05,3
6,4,1,1,3,1,4.7,3
6,9,1,1,3,1,5.32,3
6,9,1,1,3,0,8.24,3
6,9,1,1,3,0,3.56,3
6,11,1,1,3,0,16.08,2
6,11,1,1,3,0,21.91,2
6,12,1,1,3,1,5.63,3
6,20,1,2,2,0,8.89,2
6,23,1,2,2,1,13.93,2
6,23,1,2,2,1,3.22,2
6,28,1,2,3,0,2.62,3
6,29,1,2,3,1,5.28,3
6,29,1,2,3,1,2.88,3
6,29,1,2,3,1,2.17,3
6,29,1,2,3,1,2.76,3
6,31,1,2,2,0,8.3,2
6,31,1,2,2,1,1.71,2
6,32,1,2,3,0,24.27,3
6,35,1,3,3,1,0.81,3
6,35,1,3,3,1,2.98,3
6,36,1,3,2,1,7.7,2
6,37,1,3,3,0,10.7,3
6,37,1,3,3,1,6.05,3
6,38,1,3,3,0,7.52,3
6,40,1,3,3,1,5.88,3
6,40,1,3,3,1,4.54,3
6,41,1,3,1,1,3.59,2
6,43,1,3,3,0,3.24,3
6,46,1,3,3,0,12.84,3
6,46,1,3,3,0,4.95,3
6,47,1,3,2,0,10.24,2
6,50,1,4,2,0,13.28,1
6,53,1,4,2,1,1.61,2
6,53,1,4,2,1,2.88,2
6,55,1,4,2,1,0.34,2
6,56,1,4,3,1,7.55,3
6,57,1,4,3,1,6.08,3
6,59,1,4,3,1,1.19,3
6,60,1,4,3,0,9.42,3
6,60,1,4,3,1,3.2,3
6,60,1,4,3,0,3.02,3
6,63,1,4,2,1,2.55,2
6,63,1,4,2,1,4.27,3
6,64,1,4,2,1,2.53,2
6,65,1,5,2,1,9.9,2
6,65,1,5,2,1,4.12,2
6,65,1,5,2,1,9.07,3
6,67,1,5,2,0,1.95,2
6,68,1,5,2,1,1.74,2
6,68,1,5,2,1,6.04,2
6,69,1,5,2,1,2.91,2
6,71,1,5,3,0,2.64,3
6,72,1,5,2,1,5.18,2
6,74,1,5,2,0,15.42,2
6,78,1,5,3,1,19.84,3
6,78,1,5,3,0,17.16,3
6,79,1,5,3,0,17.4,3
6,79,1,5,3,1,3.58,3
7,1,1,1,3,0,13.1,3
7,3,1,1,3,1,6.67,3
7,3,1,1,3,0,7.87,3
7,5,1,1,1,0,5.09,1
7,5,1,1,1,1,2.55,1
7,10,1,1,3,0,8.33,3
7,12,1,1,3,1,1.72,3
7,12,1,1,3,0,5.75,3
7,14,1,1,3,1,6.42,3
7,14,1,1,3,1,3.18,3
7,21,1,2,1,1,1.91,2
7,22,1,2,1,1,7.06,1
7,26,1,2,1,1,2.85,2
7,26,1,2,1,1,0.8,1
7,27,1,2,1,1,1.78,1
7,28,1,2,3,0,6.6,3
7,35,1,3,3,0,4.77,2
7,35,1,3,3,1,2.76,3
7,35,1,3,3,0,13.36,3
7,37,1,3,3,1,4.77,3
7,38,1,3,3,1,2.68,3
7,38,1,3,3,1,0.54,3
7,39,1,3,1,1,1.67,1
7,40,1,3,3,1,17.25,3
7,43,1,3,3,0,8.37,3
7,46,1,3,3,1,3.91,3
7,48,1,3,1,0,7.05,1
7,49,1,4,2,1,4.05,3
7,49,1,4,2,0,7.66,1
7,52,1,4,1,1,5.36,1
7,54,1,4,1,0,4.21,1
7,55,1,4,2,0,4.62,1
7,56,1,4,3,1,3.97,3
7,57,1,4,3,1,5.18,3
7,57,1,4,3,0,25.44,3
7,59,1,4,3,0,22.86,3
7,59,1,4,3,0,15.5,3
7,59,1,4,3,0,6.97,3
7,60,1,4,3,1,3.16,3
7,60,1,4,3,1,3.31,3
7,60,1,4,3,0,8.33,2
7,70,1,5,1,1,1.47,1
7,73,1,5,2,1,0.97,3
7,78,1,5,3,1,4.83,3
7,79,1,5,3,1,5.74,3
7,79,1,5,3,1,2.41,3
7,79,1,5,3,1,7.58,3
8,1,1,1,3,1,2.3,3
8,1,1,1,3,1,6.73,3
8,1,1,1,3,1,1.48,3
8,1,1,1,3,1,7.73,3
8,3,1,1,3,1,4.85,3
8,3,1,1,3,1,1.0,3
8,3,1,1,3,0,10.27,3
8,8,1,1,2,0,9.51,2
8,11,1,1,3,0,8.16,3
8,12,1,1,3,1,1.26,3
8,12,1,1,3,0,14.32,3
8,12,1,1,3,1,4.91,3
8,14,1,1,3,1,8.92,3
8,22,1,2,1,1,4.53,2
8,24,1,2,2,0,5.23,2
8,28,1,2,3,1,3.68,3
8,29,1,2,3,0,7.32,3
8,35,1,3,3,1,5.97,3
8,37,1,3,3,1,1.43,3
8,37,1,3,3,1,1.33,3
8,37,1,3,3,1,6.85,3
8,38,1,3,3,1,9.32,3
8,40,1,3,3,1,7.36,3
8,40,1,3,3,1,2.76,3
8,42,1,3,3,1,3.36,3
8,43,1,3,3,1,4.71,3
8,46,1,3,3,1,6.42,3
8,46,1,3,3,0,16.19,3
8,50,1,4,2,1,3.84,3
8,56,1,4,3,1,4.48,3
8,57,1,4,3,1,0.08,3
8,61,1,4,2,1,3.58,2
8,63,1,4,2,1,1.49,2
8,71,1,5,3,1,1.62,3
8,74,1,5,2,1,7.11,2
8,74,1,5,2,1,8.17,2
8,78,1,5,3,0,11.99,3
8,79,1,5,3,0,5.55,3
9,1,1,1,3,0,17.21,3
9,3,1,1,3,0,6.18,3
9,3,1,1,3,1,1.58,3
9,3,1,1,3,1,2.49,3
9,3,1,1,3,0,12.15,3
9,4,1,1,3,1,3.93,3
